26281494,0,2396
26281494,1,22262
26281494,2,66139
26281494,3,656
26281493,0,43954
26281493,1,64660
26281493,2,66048
26133327,0,3765
26133327,1,55403
26133327,2,47778
26133327,3,32735
26133327,4,58597
26133327,5,25947
26082416,0,19725
26082416,1,55022
26082416,2,27248
26082416,3,29816
26082416,4,29686
26011961,0,12179
26011961,1,67578
26011961,2,50402
26011961,3,20675
26011961,4,47260
26011961,5,33372
26011961,6,18637
25868308,0,74966
25868308,1,74751
25868308,2,57783
25868308,3,30880
25856962,0,34813
25856961,0,1384
25815553,0,38401
25815553,1,64199
25815553,2,33955
25815553,3,5713
25815553,4,7798
25815553,5,20657
25799798,0,17821
25799798,1,49798
25744043,0,37026
25744043,1,34145
25744043,2,34175
25744043,3,14891
25744043,4,61416
25744043,5,72892
25744043,6,28703
25744043,7,75979
25744043,8,30563
25744043,9,79254
25744043,10,30774
25744043,11,31236
25744043,12,27903
25744043,13,376
25727505,0,24008
25727505,1,60000
25727505,2,54963
25727505,3,7476
25723029,0,16999
25723029,1,69895
25723029,2,17696
25723029,3,62358
25723028,0,1058
25723028,1,1393
25723028,2,46680
25723028,3,55513
25723028,4,57086
25723028,5,36717
25723028,6,62594
25723028,7,48711
25715634,0,38112
25715634,1,74250
25715634,2,33965
25710077,0,20068
25710077,1,62358
25710077,2,37589
25710077,3,50163
25710077,4,36008
25710077,5,5264
25699341,0,38525
25697436,0,28281
25697436,1,54838
25697436,2,46671
25697436,3,72108
25675827,0,32808
25675827,1,36852
25675827,2,3758
25675822,0,37085
25672732,0,914
25672732,1,69899
25672732,2,78378
25672732,3,72325
25672731,0,28812
25672731,1,69547
25672731,2,30652
25672730,0,72772
25672730,1,65075
25672730,2,35658
25672729,0,33199
25672728,0,33349
25672728,1,69601
25672728,2,65075
25672693,0,72325
25672033,0,61999
25672033,1,61239
25672033,2,23780
25669097,0,43830
25665395,0,73809
25665395,1,43671
25665395,2,51979
25638987,0,7175
25638987,1,38156
25638987,2,56450
25638987,3,48048
25638987,4,396
25638916,0,38508
25638916,1,32836
25638916,2,25046
25638916,3,13945
25638916,4,50786
25633443,0,12113
25633443,1,12114
25633443,2,18187
25633443,3,12190
25629136,0,19182
25629136,1,8885
25622830,0,32357
25622830,1,77715
25622830,2,14469
25622830,3,42362
